arch,dtype,seed,batch_size,mae,cosine_similarity,cosine_distance
1x64_relu,float32,0,1,8.791685104370118e-08,0.9999999999999937,6.328271240363392e-15
1x64_relu,float32,0,8,0.0,1.0,0.0
1x64_relu,float32,0,32,0.0,0.9999999999999998,2.220446049250313e-16
1x64_relu,float32,1,1,1.5720725059509278e-07,0.9999999999999348,6.517009154549669e-14
1x64_relu,float32,1,8,0.0,0.9999999999999999,1.1102230246251565e-16
1x64_relu,float32,1,32,0.0,1.0,0.0
1x64_relu,float32,2,1,6.556510925292969e-08,0.9999999999999782,2.1760371282653068e-14
1x64_relu,float32,2,8,0.0,0.9999999999999998,2.220446049250313e-16
1x64_relu,float32,2,32,0.0,1.0,0.0
1x64_relu,float64,0,1,1.0130785099704553e-16,1.0,0.0
1x64_relu,float64,0,8,1.4116312285761268e-16,1.0,0.0
1x64_relu,float64,0,32,1.3053794156725473e-16,0.9999999999999998,2.220446049250313e-16
1x64_relu,float64,1,1,1.9567680809018384e-16,1.0,0.0
1x64_relu,float64,1,8,7.314027855587213e-17,0.9999999999999999,1.1102230246251565e-16
1x64_relu,float64,1,32,1.197162486331338e-16,1.0,0.0
1x64_relu,float64,2,1,8.673617379884035e-17,1.0,0.0
1x64_relu,float64,2,8,1.4362697229458598e-16,1.0,0.0
1x64_relu,float64,2,32,1.2222820954151115e-16,1.0,0.0
2x64_relu,float32,0,1,8.940696716308594e-08,0.9999999999999847,1.532107773982716e-14
2x64_relu,float32,0,8,0.0,1.0,0.0
2x64_relu,float32,0,32,7.776543498039245e-09,0.9999999999999994,5.551115123125783e-16
2x64_relu,float32,1,1,7.003545761108399e-08,0.9999999999999842,1.5765166949677223e-14
2x64_relu,float32,1,8,0.0,1.0,0.0
2x64_relu,float32,1,32,8.265487849712372e-09,0.9999999999999979,2.1094237467877974e-15
2x64_relu,float32,2,1,6.929039955139161e-08,0.999999999999982,1.7985612998927536e-14
2x64_relu,float32,2,8,0.0,1.0,0.0
2x64_relu,float32,2,32,1.2316741049289703e-08,0.999999999999997,2.9976021664879227e-15
2x64_relu,float64,0,1,1.554312234475219e-16,1.0,0.0
2x64_relu,float64,0,8,1.700029006457271e-16,0.9999999999999999,1.1102230246251565e-16
2x64_relu,float64,0,32,1.5169343645787814e-16,1.0,0.0
2x64_relu,float64,1,1,1.1657341758564144e-16,1.0,0.0
2x64_relu,float64,1,8,1.311450947838466e-16,1.0,0.0
2x64_relu,float64,1,32,1.261547154718032e-16,1.0,0.0
2x64_relu,float64,2,1,9.43689570931383e-17,1.0,0.0
2x64_relu,float64,2,8,1.4554329963445413e-16,1.0,0.0
2x64_relu,float64,2,32,1.426864269099548e-16,0.9999999999999999,1.1102230246251565e-16
128_64_tanh_relu,float32,0,1,1.430511474609375e-07,0.9999999999999616,3.8413716652030416e-14
128_64_tanh_relu,float32,0,8,7.413327693939208e-08,0.9999999999999786,2.142730437526552e-14
128_64_tanh_relu,float32,0,32,5.89294359087944e-08,0.999999999999989,1.099120794378905e-14
128_64_tanh_relu,float32,1,1,9.5367431640625e-08,0.9999999999995722,4.277689313880728e-13
128_64_tanh_relu,float32,1,8,5.3457915782928465e-08,0.9999999999999853,1.4654943925052066e-14
128_64_tanh_relu,float32,1,32,6.59143552184105e-08,0.9999999999999821,1.787459069646502e-14
128_64_tanh_relu,float32,2,1,8.23289155960083e-08,0.9999999999999761,2.3869795029440866e-14
128_64_tanh_relu,float32,2,8,6.854534149169921e-08,0.9999999999999717,2.8310687127941492e-14
