dtype,seed,batch_size,mae,cosine_similarity,cosine_distance
float32,0,1,4.76837158203125e-08,0.9999999999999992,7.771561172376096e-16
float32,0,2,0.0,1.0,0.0
float32,0,8,0.0,1.0,0.0
float32,0,32,0.0,1.0,0.0
float32,1,1,1.9371509552001954e-08,0.9999999999999976,2.4424906541753444e-15
float32,1,2,0.0,0.9999999999999999,1.1102230246251565e-16
float32,1,8,0.0,0.9999999999999999,1.1102230246251565e-16
float32,1,32,0.0,1.0,0.0
float32,2,1,1.8030405044555664e-07,0.9999999999999758,2.4202861936828413e-14
float32,2,2,0.0,1.0,0.0
float32,2,8,0.0,1.0,0.0
float32,2,32,0.0,1.0,0.0
float32,42,1,1.1324882507324218e-07,0.9999999999999816,1.84297022087776e-14
float32,42,2,0.0,1.0,0.0
float32,42,8,0.0,1.0,0.0
float32,42,32,0.0,1.0,0.0
float64,0,1,6.140842619961618e-08,0.9999999999999993,6.661338147750939e-16
float64,0,2,4.081764752583705e-08,0.9999999999999992,7.771561172376096e-16
float64,0,8,7.03933864769704e-08,0.999999999999995,4.9960036108132044e-15
float64,0,32,6.785475260487469e-08,0.9999999999999944,5.551115123125783e-15
float64,1,1,2.326507804045752e-08,0.9999999999999991,8.881784197001252e-16
float64,1,2,4.461106233380474e-08,0.9999999999999951,4.884981308350689e-15
float64,1,8,6.607997974457033e-08,0.9999999999999932,6.772360450213455e-15
float64,1,32,7.57978969777957e-08,0.999999999999995,4.9960036108132044e-15
float64,2,1,2.3146429600773288e-07,0.9999999999999497,5.029310301551959e-14
float64,2,2,9.700536979517782e-08,0.9999999999999908,9.2148511043888e-15
float64,2,8,6.971010424487376e-08,0.9999999999999915,8.548717289613705e-15
float64,2,32,7.828167033083416e-08,0.9999999999999907,9.325873406851315e-15
float64,42,1,8.605444191400747e-08,0.9999999999999889,1.1102230246251565e-14
float64,42,2,4.983063859875792e-08,0.9999999999999901,9.880984919163893e-15
float64,42,8,7.124471577877288e-08,0.999999999999993,6.994405055138486e-15
float64,42,32,6.846754386857041e-08,0.9999999999999939,6.106226635438361e-15
